,name,mtype,morph_class,emodel,etype
156,C030796A-P3,L5_TPC:A,PC,EXC,EXC
335,vd111207_idB,L5_TPC:A,PC,EXC,EXC
280,rp111203_C3_idB,L5_TPC:A,PC,EXC,EXC
398,rat_P16_S1_RH3_20140129,L5_TPC:A,PC,EXC,EXC
312,rp120524_P_2_idD,L5_TPC:A,PC,EXC,EXC
286,rp111214_C2_idA,L5_TPC:A,PC,EXC,EXC
203,C270999B-P3,L5_TPC:A,PC,EXC,EXC
319,vd100617_idB,L5_TPC:A,PC,EXC,EXC
326,rp110616_C1_idA,L5_TPC:A,PC,EXC,EXC
415,rat_20150119_LH1_cell2,L5_TPC:A,PC,EXC,EXC
293,vd111206_idD,L5_TPC:A,PC,EXC,EXC
294,vd111211_idE,L5_TPC:A,PC,EXC,EXC
334,vd111206_idG,L5_TPC:A,PC,EXC,EXC
320,vd111209_idA,L5_TPC:A,PC,EXC,EXC
438,rat_20160317_E2_LH4_cell1,L5_TPC:A,PC,EXC,EXC
218,rp090908_c2,L5_TPC:A,PC,EXC,EXC
167,C060114A5,L5_TPC:A,PC,EXC,EXC
413,rat_20150119_LH1_cell1,L5_TPC:A,PC,EXC,EXC
327,rp110616_C1_idB,L5_TPC:A,PC,EXC,EXC
216,rp080520-1C_P10,L5_TPC:A,PC,EXC,EXC
