name,path,mtype
vd111207_idB,morphologies/vd111207_idB.asc,L5_TPC:A
vd111219_idF,morphologies/vd111219_idF.asc,L5_TPC:A
vd100617_idA,morphologies/vd100617_idA.asc,L5_TPC:A
rp110419_C1_idC,morphologies/rp110419_C1_idC.asc,L5_TPC:A
C040896A-P2,morphologies/C040896A-P2.asc,L5_TPC:A
rp110616_C1_idB,morphologies/rp110616_C1_idB.asc,L5_TPC:A
C060109A3,morphologies/C060109A3.asc,L5_TPC:A
rp111214_C2_idA,morphologies/rp111214_C2_idA.asc,L5_TPC:A
rat_20151212_LH3_cell1,morphologies/rat_20151212_LH3_cell1.asc,L5_TPC:A
rp111205_C1_idD,morphologies/rp111205_C1_idD.asc,L5_TPC:A
C080501A5,morphologies/C080501A5.asc,L5_TPC:A
C060114A2,morphologies/C060114A2.asc,L5_TPC:A
rp110630_P1_idC,morphologies/rp110630_P1_idC.asc,L5_TPC:A
vd111206_idG,morphologies/vd111206_idG.asc,L5_TPC:A
C060114A6,morphologies/C060114A6.asc,L5_TPC:A
vd110504_idC,morphologies/vd110504_idC.asc,L5_TPC:A
C270999B-P3,morphologies/C270999B-P3.asc,L5_TPC:A
vd130423_idA,morphologies/vd130423_idA.asc,L5_TPC:A
GTS070208-P1,morphologies/GTS070208-P1.asc,L5_TPC:A
vd110623_idA,morphologies/vd110623_idA.asc,L5_TPC:A
